F(m/min),S(cm/min),V(V),D(mm),W(mm)
3.6,22.5,17.5,9,8.95
5.2,22.5,17.5,9,10.72
3.6,37.5,17.5,9,7.19
5.2,37.5,17.5,9,8.29
3.6,22.5,20.5,9,10.25
5.2,22.5,20.5,9,11.5
3.6,37.5,20.5,9,8.36
5.2,37.5,20.5,9,9.35
3.6,22.5,17.5,15,8.36
5.2,22.5,17.5,15,9.52
3.6,37.5,17.5,15,6.83
5.2,37.5,17.5,15,7.98
3.6,22.5,20.5,15,9.92
5.2,22.5,20.5,15,11.12
3.6,37.5,20.5,15,7.91
5.2,37.5,20.5,15,9.25
2.8,30.0,19.0,12,7.39
6.0,30.0,19.0,12,9.9
4.4,15.0,19.0,12,11.76
4.4,45.0,19.0,12,7.54
4.4,30.0,16.0,12,8.08
4.4,30.0,22.0,12,9.9
4.4,30.0,19.0,6,9.51
4.4,30.0,19.0,18,8.58
4.4,30.0,19.0,12,8.88
4.4,30.0,19.0,12,9.09
4.4,30.0,19.0,12,8.92
4.4,30.0,19.0,12,8.91
4.4,30.0,19.0,12,8.92
4.4,30.0,19.0,12,9.02
4.4,30.0,19.0,12,8.8
4.0,21.0,17.0,12,8.798
4.0,27.0,17.0,12,7.899
4.0,30.0,17.0,12,7.954
4.0,36.0,17.0,12,7.249
4.0,39.0,17.0,12,7.193
5.2,27.0,18.9,12,10.002
5.2,30.0,18.9,12,9.116
6.0,27.0,20.3,12,11.233
5.2,22.5,19.0,12,10.61
5.2,37.5,19.0,12,8.494
4.4,37.5,17.5,12,7.788
6.0,37.5,20.5,12,9.849
